system:time_start,NDVI
"Feb 18, 2000",0.22
"Mar 5, 2000",0.231
"Mar 21, 2000",0.228
"Apr 6, 2000",0.243
"Apr 22, 2000",0.272
"May 8, 2000",0.284
"May 24, 2000",0.347
"Jun 9, 2000",0.425
"Jun 25, 2000",0.492
"Jul 11, 2000",0.518
"Jul 27, 2000",0.561
"Aug 12, 2000",0.572
"Aug 28, 2000",0.623
"Sep 13, 2000",0.599
"Sep 29, 2000",0.598
"Oct 15, 2000",0.555
"Oct 31, 2000",0.46
"Nov 16, 2000",0.391
"Dec 2, 2000",0.343
"Dec 18, 2000",0.314
"Jan 1, 2001",0.288
"Jan 17, 2001",0.272
"Feb 2, 2001",0.24
"Feb 18, 2001",0.233
"Mar 6, 2001",0.225
"Mar 22, 2001",0.232
"Apr 7, 2001",0.242
"Apr 23, 2001",0.28
"May 9, 2001",0.357
"May 25, 2001",0.38
"Jun 10, 2001",0.41
"Jun 26, 2001",0.518
"Jul 12, 2001",0.527
"Jul 28, 2001",0.569
"Aug 13, 2001",0.588
"Aug 29, 2001",0.582
"Sep 14, 2001",0.606
"Sep 30, 2001",0.593
"Oct 16, 2001",0.517
"Nov 1, 2001",0.408
"Nov 17, 2001",0.374
"Dec 3, 2001",0.336
"Dec 19, 2001",0.318
"Jan 1, 2002",0.281
"Jan 17, 2002",0.261
"Feb 2, 2002",0.246
"Feb 18, 2002",0.242
"Mar 6, 2002",0.235
"Mar 22, 2002",0.225
"Apr 7, 2002",0.283
"Apr 23, 2002",0.303
"May 9, 2002",0.289
"May 25, 2002",0.311
"Jun 10, 2002",0.367
"Jun 26, 2002",0.451
"Jul 12, 2002",0.506
"Jul 28, 2002",0.554
"Aug 13, 2002",0.592
"Aug 29, 2002",0.611
"Sep 14, 2002",0.609
"Sep 30, 2002",0.588
"Oct 16, 2002",0.564
"Nov 1, 2002",0.432
"Nov 17, 2002",0.378
"Dec 3, 2002",0.331
"Dec 19, 2002",0.298
"Jan 1, 2003",0.291
"Jan 17, 2003",0.265
"Feb 2, 2003",0.255
"Feb 18, 2003",0.239
"Mar 6, 2003",0.219
"Mar 22, 2003",0.228
"Apr 7, 2003",0.251
"Apr 23, 2003",0.271
"May 9, 2003",0.27
"May 25, 2003",0.285
"Jun 10, 2003",0.404
"Jun 26, 2003",0.514
"Jul 12, 2003",0.594
"Jul 28, 2003",0.606
"Aug 13, 2003",0.603
"Aug 29, 2003",0.615
"Sep 14, 2003",0.604
"Sep 30, 2003",0.596
"Oct 16, 2003",0.531
"Nov 1, 2003",0.447
"Nov 17, 2003",0.384
"Dec 3, 2003",0.348
"Dec 19, 2003",0.309
"Jan 1, 2004",0.297
"Jan 17, 2004",0.265
"Feb 2, 2004",0.234
"Feb 18, 2004",0.234
"Mar 5, 2004",0.2
"Mar 21, 2004",0.227
"Apr 6, 2004",0.237
"Apr 22, 2004",0.261
"May 8, 2004",0.3
"May 24, 2004",0.36
"Jun 9, 2004",0.432
"Jun 25, 2004",0.494
"Jul 11, 2004",0.507
"Jul 27, 2004",0.565
"Aug 12, 2004",0.589
"Aug 28, 2004",0.601
"Sep 13, 2004",0.579
"Sep 29, 2004",0.555
"Oct 15, 2004",0.465
"Oct 31, 2004",0.397
"Nov 16, 2004",0.334
"Dec 2, 2004",0.301
"Dec 18, 2004",0.282
"Jan 1, 2005",0.251
"Jan 17, 2005",0.238
"Feb 2, 2005",0.228
"Feb 18, 2005",0.226
"Mar 6, 2005",0.207
"Mar 22, 2005",0.215
"Apr 7, 2005",0.216
"Apr 23, 2005",0.265
"May 9, 2005",0.306
"May 25, 2005",0.36
"Jun 10, 2005",0.401
"Jun 26, 2005",0.496
"Jul 12, 2005",0.566
"Jul 28, 2005",0.571
"Aug 13, 2005",0.589
"Aug 29, 2005",0.607
"Sep 14, 2005",0.6
"Sep 30, 2005",0.591
"Oct 16, 2005",0.513
"Nov 1, 2005",0.423
"Nov 17, 2005",0.361
"Dec 3, 2005",0.322
"Dec 19, 2005",0.303
"Jan 1, 2006",0.292
"Jan 17, 2006",0.269
"Feb 2, 2006",0.247
"Feb 18, 2006",0.243
"Mar 6, 2006",0.226
"Mar 22, 2006",0.232
"Apr 7, 2006",0.233
"Apr 23, 2006",0.244
"May 9, 2006",0.287
"May 25, 2006",0.349
"Jun 10, 2006",0.406
"Jun 26, 2006",0.468
"Jul 12, 2006",0.554
"Jul 28, 2006",0.578
"Aug 13, 2006",0.583
"Aug 29, 2006",0.597
"Sep 14, 2006",0.597
"Sep 30, 2006",0.614
"Oct 16, 2006",0.515
"Nov 1, 2006",0.449
"Nov 17, 2006",0.375
"Dec 3, 2006",0.343
"Dec 19, 2006",0.312
"Jan 1, 2007",0.26
"Jan 17, 2007",0.254
"Feb 2, 2007",0.244
"Feb 18, 2007",0.235
"Mar 6, 2007",0.221
"Mar 22, 2007",0.223
"Apr 7, 2007",0.248
"Apr 23, 2007",0.295
"May 9, 2007",0.33
"May 25, 2007",0.338
"Jun 10, 2007",0.402
"Jun 26, 2007",0.451
"Jul 12, 2007",0.543
"Jul 28, 2007",0.457
"Aug 13, 2007",0.581
"Aug 29, 2007",0.609
"Sep 14, 2007",0.595
"Sep 30, 2007",0.53
"Oct 16, 2007",0.476
"Nov 1, 2007",0.394
"Nov 17, 2007",0.355
"Dec 3, 2007",0.318
"Dec 19, 2007",0.294
"Jan 1, 2008",0.269
"Jan 17, 2008",0.257
"Feb 2, 2008",0.245
"Feb 18, 2008",0.223
"Mar 5, 2008",0.22
"Mar 21, 2008",0.229
"Apr 6, 2008",0.24
"Apr 22, 2008",0.264
"May 8, 2008",0.296
"May 24, 2008",0.346
"Jun 9, 2008",0.383
"Jun 25, 2008",0.434
"Jul 11, 2008",0.488
"Jul 27, 2008",0.562
"Aug 12, 2008",0.564
"Aug 28, 2008",0.585
"Sep 13, 2008",0.558
"Sep 29, 2008",0.551
"Oct 15, 2008",0.513
"Oct 31, 2008",0.399
"Nov 16, 2008",0.347
"Dec 2, 2008",0.315
"Dec 18, 2008",0.291
"Jan 1, 2009",0.279
"Jan 17, 2009",0.253
"Feb 2, 2009",0.247
"Feb 18, 2009",0.224
"Mar 6, 2009",0.222
"Mar 22, 2009",0.22
"Apr 7, 2009",0.243
"Apr 23, 2009",0.269
"May 9, 2009",0.345
"May 25, 2009",0.325
"Jun 10, 2009",0.352
"Jun 26, 2009",0.427
"Jul 12, 2009",0.462
"Jul 28, 2009",0.545
"Aug 13, 2009",0.584
"Aug 29, 2009",0.588
"Sep 14, 2009",0.581
"Sep 30, 2009",0.554
"Oct 16, 2009",0.525
"Nov 1, 2009",0.45
"Nov 17, 2009",0.366
"Dec 3, 2009",0.336
"Dec 19, 2009",0.303
"Jan 1, 2010",0.283
"Jan 17, 2010",0.261
"Feb 2, 2010",0.249
"Feb 18, 2010",0.233
"Mar 6, 2010",0.23
"Mar 22, 2010",0.214
"Apr 7, 2010",0.224
"Apr 23, 2010",0.262
"May 9, 2010",0.291
"May 25, 2010",0.345
"Jun 10, 2010",0.419
"Jun 26, 2010",0.427
"Jul 12, 2010",0.459
"Jul 28, 2010",0.554
"Aug 13, 2010",0.579
"Aug 29, 2010",0.589
"Sep 14, 2010",0.601
"Sep 30, 2010",0.587
"Oct 16, 2010",0.526
"Nov 1, 2010",0.463
"Nov 17, 2010",0.383
"Dec 3, 2010",0.34
"Dec 19, 2010",0.301
"Jan 1, 2011",0.274
"Jan 17, 2011",0.264
"Feb 2, 2011",0.25
"Feb 18, 2011",0.234
"Mar 6, 2011",0.233
"Mar 22, 2011",0.229
"Apr 7, 2011",0.242
"Apr 23, 2011",0.272
"May 9, 2011",0.302
"May 25, 2011",0.357
"Jun 10, 2011",0.37
"Jun 26, 2011",0.443
"Jul 12, 2011",0.488
"Jul 28, 2011",0.555
"Aug 13, 2011",0.577
"Aug 29, 2011",0.589
"Sep 14, 2011",0.589
"Sep 30, 2011",0.586
"Oct 16, 2011",0.479
"Nov 1, 2011",0.421
"Nov 17, 2011",0.347
"Dec 3, 2011",0.309
"Dec 19, 2011",0.286
"Jan 1, 2012",0.27
"Jan 17, 2012",0.258
"Feb 2, 2012",0.242
"Feb 18, 2012",0.216
"Mar 5, 2012",0.221
"Mar 21, 2012",0.217
"Apr 6, 2012",0.225
"Apr 22, 2012",0.248
"May 8, 2012",0.289
"May 24, 2012",0.288
"Jun 9, 2012",0.42
"Jun 25, 2012",0.465
"Jul 11, 2012",0.514
"Jul 27, 2012",0.559
"Aug 12, 2012",0.559
"Aug 28, 2012",0.584
"Sep 13, 2012",0.595
"Sep 29, 2012",0.578
"Oct 15, 2012",0.541
"Oct 31, 2012",0.466
"Nov 16, 2012",0.394
"Dec 2, 2012",0.346
"Dec 18, 2012",0.308
"Jan 1, 2013",0.291
"Jan 17, 2013",0.272
"Feb 2, 2013",0.251
"Feb 18, 2013",0.246
"Mar 6, 2013",0.241
"Mar 22, 2013",0.243
"Apr 7, 2013",0.256
"Apr 23, 2013",0.274
"May 9, 2013",0.297
"May 25, 2013",0.311
"Jun 10, 2013",0.358
"Jun 26, 2013",0.443
"Jul 12, 2013",0.489
"Jul 28, 2013",0.53
"Aug 13, 2013",0.557
"Aug 29, 2013",0.596
"Sep 14, 2013",0.594
"Sep 30, 2013",0.578
"Oct 16, 2013",0.537
"Nov 1, 2013",0.441
"Nov 17, 2013",0.378
"Dec 3, 2013",0.336
"Dec 19, 2013",0.304
"Jan 1, 2014",0.28
"Jan 17, 2014",0.27
"Feb 2, 2014",0.241
"Feb 18, 2014",0.239
"Mar 6, 2014",0.248
"Mar 22, 2014",0.245
"Apr 7, 2014",0.263
"Apr 23, 2014",0.278
"May 9, 2014",0.328
"May 25, 2014",0.366
"Jun 10, 2014",0.406
"Jun 26, 2014",0.45
"Jul 12, 2014",0.503
"Jul 28, 2014",0.488
"Aug 13, 2014",0.572
"Aug 29, 2014",0.571
"Sep 14, 2014",0.589
"Sep 30, 2014",0.575
"Oct 16, 2014",0.506
"Nov 1, 2014",0.425
"Nov 17, 2014",0.355
"Dec 3, 2014",0.319
"Dec 19, 2014",0.28
"Jan 1, 2015",0.266
"Jan 17, 2015",0.253
"Feb 2, 2015",0.245
"Feb 18, 2015",0.229
"Mar 6, 2015",0.214
"Mar 22, 2015",0.234
"Apr 7, 2015",0.236
"Apr 23, 2015",0.233
"May 9, 2015",0.247
"May 25, 2015",0.272
"Jun 10, 2015",0.332
"Jun 26, 2015",0.4
"Jul 12, 2015",0.466
"Jul 28, 2015",0.529
"Aug 13, 2015",0.572
"Aug 29, 2015",0.592
"Sep 14, 2015",0.617
"Sep 30, 2015",0.585
"Oct 16, 2015",0.542
"Nov 1, 2015",0.434
"Nov 17, 2015",0.362
"Dec 3, 2015",0.302
"Dec 19, 2015",0.284
"Jan 1, 2016",0.273
"Jan 17, 2016",0.255
"Feb 2, 2016",0.239
"Feb 18, 2016",0.232
"Mar 5, 2016",0.225
"Mar 21, 2016",0.248
"Apr 6, 2016",0.26
"Apr 22, 2016",0.25
"May 8, 2016",0.272
"May 24, 2016",0.325
"Jun 9, 2016",0.374
"Jun 25, 2016",0.446
"Jul 11, 2016",0.521
"Jul 27, 2016",0.575
"Aug 12, 2016",0.61
"Aug 28, 2016",0.604
"Sep 13, 2016",0.613
"Sep 29, 2016",0.564
"Oct 15, 2016",0.49
"Oct 31, 2016",0.373
"Nov 16, 2016",0.336
"Dec 2, 2016",0.312
"Dec 18, 2016",0.275
"Jan 1, 2017",0.261
"Jan 17, 2017",0.255
"Feb 2, 2017",0.241
"Feb 18, 2017",0.23
"Mar 6, 2017",0.213
"Mar 22, 2017",0.223
"Apr 7, 2017",0.225
"Apr 23, 2017",0.263
"May 9, 2017",0.286
"May 25, 2017",0.32
"Jun 10, 2017",0.426
"Jun 26, 2017",0.456
"Jul 12, 2017",0.521
"Jul 28, 2017",0.567
"Aug 13, 2017",0.589
"Aug 29, 2017",0.595
"Sep 14, 2017",0.565
"Sep 30, 2017",0.544
"Oct 16, 2017",0.432
"Nov 1, 2017",0.351
"Nov 17, 2017",0.304
"Dec 3, 2017",0.283
"Dec 19, 2017",0.25
"Jan 1, 2018",0.246
"Jan 17, 2018",0.233
"Feb 2, 2018",0.23
"Feb 18, 2018",0.235
"Mar 6, 2018",0.238
"Mar 22, 2018",0.227
"Apr 7, 2018",0.234
"Apr 23, 2018",0.251
"May 9, 2018",0.27
"May 25, 2018",0.329
"Jun 10, 2018",0.337
"Jun 26, 2018",0.42
"Jul 12, 2018",0.489
"Jul 28, 2018",0.548
"Aug 13, 2018",0.564
"Aug 29, 2018",0.582
"Sep 14, 2018",0.593
"Sep 30, 2018",0.579
"Oct 16, 2018",0.516
"Nov 1, 2018",0.427
"Nov 17, 2018",0.354
"Dec 3, 2018",0.312
"Dec 19, 2018",0.273
"Jan 1, 2019",0.267
"Jan 17, 2019",0.254
"Feb 2, 2019",0.238
"Feb 18, 2019",0.248
"Mar 6, 2019",0.229
"Mar 22, 2019",0.227
"Apr 7, 2019",0.234
"Apr 23, 2019",0.254
"May 9, 2019",0.283
"May 25, 2019",0.326
"Jun 10, 2019",0.399
"Jun 26, 2019",0.446
"Jul 12, 2019",0.49
"Jul 28, 2019",0.509
"Aug 13, 2019",0.583
"Aug 29, 2019",0.58
"Sep 14, 2019",0.579
"Sep 30, 2019",0.579
"Oct 16, 2019",0.561
"Nov 1, 2019",0.508
"Nov 17, 2019",0.406
"Dec 3, 2019",0.362
"Dec 19, 2019",0.324
"Jan 1, 2020",0.276
"Jan 17, 2020",0.259
"Feb 2, 2020",0.253
"Feb 18, 2020",0.238
"Mar 5, 2020",0.232
"Mar 21, 2020",0.247
"Apr 6, 2020",0.249
"Apr 22, 2020",0.258
"May 8, 2020",0.298
"May 24, 2020",0.35
"Jun 9, 2020",0.394
"Jun 25, 2020",0.443
"Jul 11, 2020",0.507
"Jul 27, 2020",0.563
"Aug 12, 2020",0.582
"Aug 28, 2020",0.579
"Sep 13, 2020",0.573
"Sep 29, 2020",0.578
"Oct 15, 2020",0.532
"Oct 31, 2020",0.423
"Nov 16, 2020",0.347
