system:time_start,NDVI
"Jan 17, 2012",0.28
"Jan 25, 2012",0.263
"Feb 2, 2012",0.252
"Feb 10, 2012",0.247
"Feb 18, 2012",0.244
"Feb 26, 2012",0.252
"Mar 5, 2012",0.245
"Mar 13, 2012",0.23
"Mar 21, 2012",0.239
"Mar 29, 2012",0.251
"Apr 6, 2012",0.25
"Apr 14, 2012",0.25
"Apr 22, 2012",0.266
"Apr 30, 2012",0.288
"May 8, 2012",0.306
"May 16, 2012",0.331
"May 24, 2012",0.345
"Jun 1, 2012",0.394
"Jun 9, 2012",0.431
"Jun 17, 2012",0.464
"Jun 25, 2012",0.502
"Jul 3, 2012",0.529
"Jul 11, 2012",0.542
"Jul 19, 2012",0.589
"Jul 27, 2012",0.602
"Aug 4, 2012",0.625
"Aug 12, 2012",0.649
"Aug 20, 2012",0.658
"Aug 28, 2012",0.656
"Sep 5, 2012",0.64
"Sep 13, 2012",0.622
"Sep 21, 2012",0.614
"Sep 29, 2012",0.593
"Oct 7, 2012",0.58
"Oct 15, 2012",0.517
"Oct 23, 2012",0.5
"Oct 31, 2012",0.472
"Nov 8, 2012",0.431
"Nov 16, 2012",0.399
"Nov 24, 2012",0.376
"Dec 2, 2012",0.368
"Dec 10, 2012",0.357
"Dec 18, 2012",0.333
"Dec 26, 2012",0.329
"Jan 1, 2013",0.314
"Jan 9, 2013",0.307
"Jan 17, 2013",0.3
"Jan 25, 2013",0.287
"Feb 2, 2013",0.281
"Feb 10, 2013",0.269
"Feb 18, 2013",0.268
"Feb 26, 2013",0.266
"Mar 6, 2013",0.263
"Mar 14, 2013",0.26
"Mar 22, 2013",0.275
"Mar 30, 2013",0.281
"Apr 7, 2013",0.28
"Apr 15, 2013",0.291
"Apr 23, 2013",0.299
"May 1, 2013",0.311
"May 9, 2013",0.324
"May 17, 2013",0.322
"May 25, 2013",0.329
"Jun 2, 2013",0.353
"Jun 10, 2013",0.379
"Jun 18, 2013",0.392
"Jun 26, 2013",0.457
"Jul 4, 2013",0.483
"Jul 12, 2013",0.507
"Jul 20, 2013",0.544
"Jul 28, 2013",0.574
"Aug 5, 2013",0.602
"Aug 13, 2013",0.612
"Aug 21, 2013",0.629
"Aug 29, 2013",0.613
"Sep 6, 2013",0.613
"Sep 14, 2013",0.61
"Sep 22, 2013",0.614
"Sep 30, 2013",0.614
"Oct 8, 2013",0.576
"Oct 16, 2013",0.555
"Oct 24, 2013",0.511
"Nov 1, 2013",0.441
"Nov 9, 2013",0.424
"Nov 17, 2013",0.41
"Nov 25, 2013",0.384
"Dec 3, 2013",0.365
"Dec 11, 2013",0.34
"Dec 19, 2013",0.332
"Dec 27, 2013",0.319
"Jan 1, 2014",0.312
"Jan 9, 2014",0.306
"Jan 17, 2014",0.301
"Jan 25, 2014",0.27
"Feb 2, 2014",0.271
"Feb 10, 2014",0.278
"Feb 18, 2014",0.267
"Feb 26, 2014",0.274
"Mar 6, 2014",0.274
"Mar 14, 2014",0.268
"Mar 22, 2014",0.272
"Mar 30, 2014",0.273
"Apr 7, 2014",0.286
"Apr 15, 2014",0.293
"Apr 23, 2014",0.299
"May 1, 2014",0.325
"May 9, 2014",0.345
"May 17, 2014",0.367
"May 25, 2014",0.384
"Jun 2, 2014",0.411
"Jun 10, 2014",0.416
"Jun 18, 2014",0.452
"Jun 26, 2014",0.462
"Jul 4, 2014",0.476
"Jul 12, 2014",0.522
"Jul 20, 2014",0.56
"Jul 28, 2014",0.593
"Aug 5, 2014",0.611
"Aug 13, 2014",0.62
"Aug 21, 2014",0.628
"Aug 29, 2014",0.611
"Sep 6, 2014",0.613
"Sep 14, 2014",0.617
"Sep 22, 2014",0.61
"Sep 30, 2014",0.612
"Oct 8, 2014",0.591
"Oct 16, 2014",0.553
"Oct 24, 2014",0.476
"Nov 1, 2014",0.46
"Nov 9, 2014",0.438
"Nov 17, 2014",0.38
"Nov 25, 2014",0.369
"Dec 3, 2014",0.359
"Dec 11, 2014",0.326
"Dec 19, 2014",0.306
"Dec 27, 2014",0.298
"Jan 1, 2015",0.281
"Jan 9, 2015",0.275
"Jan 17, 2015",0.286
"Jan 25, 2015",0.275
"Feb 2, 2015",0.272
"Feb 10, 2015",0.267
"Feb 18, 2015",0.25
"Feb 26, 2015",0.245
"Mar 6, 2015",0.219
"Mar 14, 2015",0.225
"Mar 22, 2015",0.232
"Mar 30, 2015",0.227
"Apr 7, 2015",0.252
"Apr 15, 2015",0.257
"Apr 23, 2015",0.257
"May 1, 2015",0.261
"May 9, 2015",0.275
"May 17, 2015",0.286
"May 25, 2015",0.302
"Jun 2, 2015",0.315
"Jun 10, 2015",0.355
"Jun 18, 2015",0.38
"Jun 26, 2015",0.414
"Jul 4, 2015",0.444
"Jul 12, 2015",0.485
"Jul 20, 2015",0.547
"Jul 28, 2015",0.581
"Aug 5, 2015",0.594
"Aug 13, 2015",0.611
"Aug 21, 2015",0.641
"Aug 29, 2015",0.627
"Sep 6, 2015",0.626
"Sep 14, 2015",0.622
"Sep 22, 2015",0.62
"Sep 30, 2015",0.613
"Oct 8, 2015",0.588
"Oct 16, 2015",0.577
"Oct 24, 2015",0.478
"Nov 1, 2015",0.439
"Nov 9, 2015",0.411
"Nov 17, 2015",0.407
"Nov 25, 2015",0.383
"Dec 3, 2015",0.325
"Dec 11, 2015",0.314
"Dec 19, 2015",0.3
"Dec 27, 2015",0.291
"Jan 1, 2016",0.294
"Jan 9, 2016",0.289
"Jan 17, 2016",0.27
"Jan 25, 2016",0.252
"Feb 2, 2016",0.265
"Feb 10, 2016",0.26
"Feb 18, 2016",0.252
"Feb 26, 2016",0.248
"Mar 5, 2016",0.247
"Mar 13, 2016",0.266
"Mar 21, 2016",0.273
"Mar 29, 2016",0.275
"Apr 6, 2016",0.286
"Apr 14, 2016",0.286
"Apr 22, 2016",0.277
"Apr 30, 2016",0.273
"May 8, 2016",0.294
"May 16, 2016",0.304
"May 24, 2016",0.347
"Jun 1, 2016",0.352
"Jun 9, 2016",0.402
"Jun 17, 2016",0.416
"Jun 25, 2016",0.466
"Jul 3, 2016",0.493
"Jul 11, 2016",0.539
"Jul 19, 2016",0.593
"Jul 27, 2016",0.609
"Aug 4, 2016",0.636
"Aug 12, 2016",0.644
"Aug 20, 2016",0.635
"Aug 28, 2016",0.628
