system:time_start,NDVI
"Jan 17, 2012",0.308
"Jan 25, 2012",0.305
"Feb 2, 2012",0.292
"Feb 10, 2012",0.284
"Feb 18, 2012",0.285
"Feb 26, 2012",0.284
"Mar 5, 2012",0.269
"Mar 13, 2012",0.258
"Mar 21, 2012",0.277
"Mar 29, 2012",0.288
"Apr 6, 2012",0.295
"Apr 14, 2012",0.324
"Apr 22, 2012",0.349
"Apr 30, 2012",0.379
"May 8, 2012",0.456
"May 16, 2012",0.479
"May 24, 2012",0.494
"Jun 1, 2012",0.502
"Jun 9, 2012",0.577
"Jun 17, 2012",0.605
"Jun 25, 2012",0.627
"Jul 3, 2012",0.628
"Jul 11, 2012",0.63
"Jul 19, 2012",0.634
"Jul 27, 2012",0.632
"Aug 4, 2012",0.645
"Aug 12, 2012",0.668
"Aug 20, 2012",0.634
"Aug 28, 2012",0.635
"Sep 5, 2012",0.672
"Sep 13, 2012",0.675
"Sep 21, 2012",0.672
"Sep 29, 2012",0.661
"Oct 7, 2012",0.661
"Oct 15, 2012",0.639
"Oct 23, 2012",0.613
"Oct 31, 2012",0.585
"Nov 8, 2012",0.513
"Nov 16, 2012",0.468
"Nov 24, 2012",0.452
"Dec 2, 2012",0.431
"Dec 10, 2012",0.42
"Dec 18, 2012",0.392
"Dec 26, 2012",0.367
"Jan 1, 2013",0.352
"Jan 9, 2013",0.34
"Jan 17, 2013",0.332
"Jan 25, 2013",0.318
"Feb 2, 2013",0.304
"Feb 10, 2013",0.301
"Feb 18, 2013",0.305
"Feb 26, 2013",0.304
"Mar 6, 2013",0.3
"Mar 14, 2013",0.3
"Mar 22, 2013",0.334
"Mar 30, 2013",0.343
"Apr 7, 2013",0.346
"Apr 15, 2013",0.36
"Apr 23, 2013",0.396
"May 1, 2013",0.418
"May 9, 2013",0.45
"May 17, 2013",0.452
"May 25, 2013",0.477
"Jun 2, 2013",0.539
"Jun 10, 2013",0.563
"Jun 18, 2013",0.602
"Jun 26, 2013",0.643
"Jul 4, 2013",0.664
"Jul 12, 2013",0.652
"Jul 20, 2013",0.633
"Jul 28, 2013",0.613
"Aug 5, 2013",0.601
"Aug 13, 2013",0.59
"Aug 21, 2013",0.643
"Aug 29, 2013",0.679
"Sep 6, 2013",0.678
